x,y,z,timestamp
3.3,2.32,0.06,2025-09-02 18:17:19.225
-0.24,0.37,0.0,2025-09-02 18:17:20.045
-0.67,0.24,0.0,2025-09-02 18:17:21.070
-0.55,0.18,0.06,2025-09-02 18:17:22.090
-0.61,0.18,0.0,2025-09-02 18:17:23.115
-0.55,0.18,0.0,2025-09-02 18:17:24.135
-0.61,0.24,0.0,2025-09-02 18:17:25.167
-0.61,0.24,0.06,2025-09-02 18:17:26.190
-0.55,0.18,0.0,2025-09-02 18:17:27.210
-0.55,0.18,0.0,2025-09-02 18:17:28.229
-0.55,0.18,0.0,2025-09-02 18:17:29.259
-0.55,0.18,0.0,2025-09-02 18:17:30.080
-0.55,0.24,0.0,2025-09-02 18:17:31.100
-0.55,0.24,0.0,2025-09-02 18:17:32.120
-0.49,0.24,0.0,2025-09-02 18:17:33.145
32.23,-25.57,119.08,2025-09-02 18:17:34.170
14.59,2.38,-10.01,2025-09-02 18:17:35.200
3.48,10.38,-8.18,2025-09-02 18:17:36.220
13.0,-6.84,-28.63,2025-09-02 18:17:37.250
-0.55,-0.85,-1.1,2025-09-02 18:17:38.269
-50.05,34.85,-41.81,2025-09-02 18:17:39.290
0.06,3.97,3.72,2025-09-02 18:17:40.109
3.17,-13.37,2.38,2025-09-02 18:17:41.139
-1.16,1.59,-0.18,2025-09-02 18:17:42.160
0.06,0.37,0.37,2025-09-02 18:17:43.184
-0.79,0.49,0.0,2025-09-02 18:17:44.208
-0.92,0.61,0.37,2025-09-02 18:17:45.234
-43.21,93.38,0.12,2025-09-02 18:17:46.259
3.42,-0.18,-4.94,2025-09-02 18:17:47.286
-0.55,-0.73,-1.59,2025-09-02 18:17:48.300
-2.14,-0.73,-0.79,2025-09-02 18:17:49.328
-0.73,0.43,0.18,2025-09-02 18:17:50.365
-0.31,0.18,-1.65,2025-09-02 18:17:51.170
-0.55,-0.12,0.06,2025-09-02 18:17:52.195
0.37,-2.75,-0.43,2025-09-02 18:17:53.214
-0.24,0.85,0.0,2025-09-02 18:17:54.248
-0.92,-0.49,-0.31,2025-09-02 18:17:55.264
0.98,-0.85,-1.34,2025-09-02 18:17:56.295
-0.85,0.18,0.43,2025-09-02 18:17:57.319
-1.16,0.18,0.0,2025-09-02 18:17:58.339
17.94,-15.26,33.08,2025-09-02 18:17:59.359
0.0,-0.67,0.49,2025-09-02 18:18:00.179
0.61,-4.09,-4.58,2025-09-02 18:18:01.208
-0.79,-0.31,-0.92,2025-09-02 18:18:02.240
-0.92,-0.24,-1.34,2025-09-02 18:18:03.249
-13.43,8.18,5.13,2025-09-02 18:18:04.285
-6.71,2.2,13.85,2025-09-02 18:18:05.300
-0.49,-0.18,0.37,2025-09-02 18:18:06.329
2.14,-7.2,-8.48,2025-09-02 18:18:07.349
1.71,0.18,-1.65,2025-09-02 18:18:08.369
2.75,4.21,-4.76,2025-09-02 18:18:09.399
1.4,2.62,1.65,2025-09-02 18:18:10.419
-0.92,1.04,0.79,2025-09-02 18:18:11.239
-0.43,0.12,0.18,2025-09-02 18:18:12.268
-2.62,-4.7,-1.59,2025-09-02 18:18:13.289
-0.43,-3.36,-1.89,2025-09-02 18:18:14.309
1.46,3.6,-1.53,2025-09-02 18:18:15.333
0.12,2.56,1.22,2025-09-02 18:18:16.363
-0.18,0.43,0.06,2025-09-02 18:18:17.383
-0.43,-0.06,-0.24,2025-09-02 18:18:18.409
0.67,0.55,-0.06,2025-09-02 18:18:19.439
0.0,-1.16,-0.49,2025-09-02 18:18:20.459
-0.61,0.92,-0.49,2025-09-02 18:18:21.283
-1.04,0.67,0.24,2025-09-02 18:18:22.303
-0.55,0.24,-0.24,2025-09-02 18:18:23.324
-0.73,-1.28,-0.12,2025-09-02 18:18:24.348
-0.61,2.32,1.77,2025-09-02 18:18:25.377
0.0,4.94,0.31,2025-09-02 18:18:26.394
0.24,0.12,-0.67,2025-09-02 18:18:27.423
-3.23,-8.67,-0.12,2025-09-02 18:18:28.443
-0.73,0.98,0.49,2025-09-02 18:18:29.468
-0.12,2.69,0.24,2025-09-02 18:18:30.499
0.31,3.11,0.31,2025-09-02 18:18:31.309
-82.89,101.87,63.78,2025-09-02 18:18:32.338
1.83,0.55,0.55,2025-09-02 18:18:33.358
-0.43,0.24,-0.18,2025-09-02 18:18:34.379
0.18,0.24,-0.85,2025-09-02 18:18:35.403
40.28,-0.18,-28.56,2025-09-02 18:18:36.434
-3.6,-0.61,0.67,2025-09-02 18:18:37.453
-0.61,0.12,0.0,2025-09-02 18:18:38.479
-0.55,0.18,0.0,2025-09-02 18:18:39.498
-0.61,0.18,0.06,2025-09-02 18:18:40.527
-0.55,0.18,0.0,2025-09-02 18:18:41.347
-0.61,0.18,0.06,2025-09-02 18:18:42.374
-0.61,0.18,0.06,2025-09-02 18:18:43.393
-0.55,0.18,0.0,2025-09-02 18:18:44.424
-0.55,0.18,0.0,2025-09-02 18:18:45.438
-0.55,0.18,0.06,2025-09-02 18:18:46.468
-0.61,0.24,0.0,2025-09-02 18:18:47.488
-0.55,0.18,0.0,2025-09-02 18:18:48.513
-0.55,0.18,0.0,2025-09-02 18:18:49.533
-0.55,0.24,0.0,2025-09-02 18:18:50.568
-0.61,0.18,0.0,2025-09-02 18:18:51.584
-0.61,0.24,0.0,2025-09-02 18:18:52.403
-0.55,0.18,0.0,2025-09-02 18:18:53.427
-0.55,0.18,0.0,2025-09-02 18:18:54.448
-0.61,0.18,0.0,2025-09-02 18:18:55.478
-0.61,0.24,0.0,2025-09-02 18:18:56.498
-0.55,0.24,0.0,2025-09-02 18:18:57.544
