timestamp,accMagnitude,alarmLED
2025-08-14 22:25:59,1.01,0
2025-08-14 22:25:59,1.01,0
2025-08-14 22:26:00,1.01,0
2025-08-14 22:26:00,1.01,0
2025-08-14 22:26:01,1.01,0
2025-08-14 22:26:01,1.01,0
2025-08-14 22:26:02,1.01,0
2025-08-14 22:26:02,1.01,0
2025-08-14 22:26:03,1.01,0
2025-08-14 22:26:04,1.01,0
2025-08-14 22:26:04,1.01,0
2025-08-14 22:26:05,1.01,0
2025-08-14 22:26:05,1.01,0
2025-08-14 22:26:06,1.01,0
2025-08-14 22:26:06,1.01,0
2025-08-14 22:26:07,1.01,0
2025-08-14 22:26:07,1.01,0
2025-08-14 22:26:08,1.01,0
2025-08-14 22:26:08,1.01,0
2025-08-14 22:26:09,1.01,0
2025-08-14 22:26:10,1.09,0
2025-08-14 22:26:10,0.63,0
2025-08-14 22:26:11,1.65,1
2025-08-14 22:26:11,1.76,1
2025-08-14 22:26:12,1.28,0
2025-08-14 22:26:12,0.88,0
2025-08-14 22:26:13,1.13,0
2025-08-14 22:26:13,1.01,0
2025-08-14 22:26:14,1.01,0
2025-08-14 22:26:14,1.01,0
2025-08-14 22:26:15,1.01,0
2025-08-14 22:26:16,1.01,0
2025-08-14 22:26:16,1.01,0
2025-08-14 22:26:17,1.01,0
2025-08-14 22:26:17,1.01,0
2025-08-14 22:26:18,1.01,0
2025-08-14 22:26:18,1.01,0
2025-08-14 22:26:19,1.01,0
2025-08-14 22:26:19,1.01,0
2025-08-14 22:26:20,1.01,0
2025-08-14 22:26:20,1.01,0
2025-08-14 22:26:21,1.01,0
2025-08-14 22:26:22,1.63,1
2025-08-14 22:26:22,1.54,1
2025-08-14 22:26:23,2.43,1
2025-08-14 22:26:23,1.16,0
2025-08-14 22:26:24,2.42,1
2025-08-14 22:26:24,0.64,0
2025-08-14 22:26:25,2.49,1
2025-08-14 22:26:25,0.74,0
2025-08-14 22:26:26,1.46,0
2025-08-14 22:26:27,0.72,0
2025-08-14 22:26:27,1.25,0
2025-08-14 22:26:28,1.02,0
2025-08-14 22:26:28,1.03,0
2025-08-14 22:26:29,1.01,0
2025-08-14 22:26:29,1.01,0
2025-08-14 22:26:30,1.01,0
2025-08-14 22:26:30,1.01,0
2025-08-14 22:26:31,1.01,0
2025-08-14 22:26:31,1.01,0
2025-08-14 22:26:32,1.46,0
2025-08-14 22:26:33,1.11,0
2025-08-14 22:26:33,2.02,1
2025-08-14 22:26:34,1.95,1
2025-08-14 22:26:34,1.89,1
2025-08-14 22:26:35,1.63,1
2025-08-14 22:26:35,1.21,0
2025-08-14 22:26:36,1.53,1
2025-08-14 22:26:36,1.01,0
2025-08-14 22:26:37,0.97,0
2025-08-14 22:26:37,1.03,0
2025-08-14 22:26:38,0.37,0
2025-08-14 22:26:39,1.11,0
